prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
山口県,ukashima Island,浮島,うかしま,大島郡周防大島町,2.27,,
山口県,nasakejima Island,情島,なさけじま,大島郡周防大島町,1,,
山口県,okikamurojima Island,沖家室島,おきかむろじま,大島郡周防大島町,0.95,,
山口県,heiguntou Island,平郡島,へいぐんとう,柳井市,16.56,,
山口県,nagashima Island,長島,ながしま,熊毛郡上関町,13.69,,
山口県,yashima Island,八島,やしま,熊毛郡上関町,4.16,,
山口県,iwaishima Island,祝島,いわいしま,熊毛郡上関町,7.68,,
山口県,sagoujima Island,佐合島,さごうじま,熊毛郡平生町,1.29,,
山口県,umashima Island,馬島,うましま,熊毛郡田布施町,0.7,,
山口県,ushima Island,牛島,うしま,光市,1.9,,
山口県,kasadoshima Island,笠戸島,かさどしま,下松市,11.66,,
山口県,sukumojima Island,粭島,すくもじま,周南市,3.33,,
山口県,oozushima Island,大津島,おおづしま,周南市,4.77,,
山口県,noshima Island,野島,のしま,防府市,0.73,,
山口県,mukoushima Island,向島,むこうしま,防府市,7.99,,
山口県,takenokojima Island,竹ノ子島,たけのこじま,下関市,0.18,,
山口県,hikoshima Island,彦島,ひこしま,下関市,10.58,,
山口県,mishima Island,見島,みしま,萩市,7.76,,
山口県,aishima Island,相島,あいしま,萩市,2.37,,
山口県,hitsushima Island,櫃島,ひつしま,萩市,0.83,,
山口県,ooshima Island,大島,おおしま,萩市,2.99,,
山口県,oumijima Island,青海島,おうみじま,長門市,14.82,,
山口県,tsunoshima Island,角島,つのしま,下関市,3.84,,
山口県,futaoijima Island,蓋井島,ふたおいじま,下関市,2.32,,
山口県,mutsurejima Island,六連島,むつれじま,下関市,0.69,,
徳島県,oogeshima Island,大毛島,おおげしま,鳴門市,7.31,,
徳島県,shimadajima Island,島田島,しまだじま,鳴門市,5.73,,
徳島県,ishima Island,伊島,いしま,阿南市,1.45,,
徳島県,tebajima Island,出羽島,てばじま,海部郡牟岐町,0.65,,
徳島県,takegashima Island,竹ケ島,たけがしま,海部郡海陽町,1.3,,
徳島県,takashima Island,高島,たかしま,鳴門市,2.63,,
香川県,shiudoshima Island,小豆島,しょうどしま,小豆郡小豆島町、小豆郡土庄町,153.27,,
香川県,okinoshima Island,沖之島,おきのしま,小豆郡土庄町,0.18,,
香川県,odeshima Island,小豊島,おでしま,小豆郡土庄町,1.1,,
香川県,teshima Island,豊島,てしま,小豆郡土庄町,14.5,,
香川県,naoshima Island,直島,なおしま,香川郡直島町,7.82,,
香川県,mukaejima Island,向島,むかえじま,香川郡直島町,0.74,,
香川県,biubushima Island,屏風島,びょうぶしま,香川郡直島町,0.12,,
香川県,ooshima Island,大島,おおしま,高松市,0.73,,
香川県,ogijima Island,男木島,おぎじま,高松市,1.34,,
香川県,megijima Island,女木島,めぎじま,高松市,2.62,,
香川県,hitsuishijima Island,櫃石島,ひついしじま,坂出市,0.93,,
香川県,iwakurojima Island,岩黒島,いわくろじま,坂出市,0.17,,
香川県,yoshima Island,与島,よしま,坂出市,1.13,,
香川県,koyoshima Island,小与島,こよしま,坂出市,0.26,,
香川県,ushijima Island,牛島,うしじま,丸亀市,0.84,,
香川県,honjima Island,本島,ほんじま,丸亀市,6.75,,
香川県,hiroshima Island,広島,ひろしま,丸亀市,11.72,,
香川県,teshima Island,手島,てしま,丸亀市,3.41,,
香川県,oteshima Island,小手島,おてしま,丸亀市,0.53,,
